,Siruta,Localitate,Ca_loc
407,74915,Ghindeni,81.18302094818081
408,58534,Marisel,0.0
409,17575,Mozaceni,62.72735760971055
410,124073,Romani,596.9433348815606
411,66731,Comisani,465.30568948891033
412,74923,Intorsura,0.0
413,42156,Ungra,0.0
414,173230,Stoenesti,0.0
415,132271,Baltesti,7.169173924518343
416,74931,Plesoi,0.0
417,9397,Vladimirescu,3140.3788322292403
418,58552,Mintiu Gherlii,0.0
419,115897,Brancovenesti,0.0
420,148667,Fratautii Noi,11.706372132540357
421,83133,Municipiul Odorheiu Secuiesc,38.10655610261726
422,1213,Municipiul Aiud,417.2392659016643
423,140477,Carastelec,3954.003770028275
424,107715,Campulung La Tisa,0.0
425,91330,Soimus,0.0
426,74949,Rojiste,264.6267922982384
427,33989,Nimigea,0.0
428,42183,Vama Buzaului,0.0
429,74956,Talpas,0.0
430,83151,Bradesti,0.0
431,165069,Oltenesti,225.3999262808699
432,66768,Contesti,9236.229311141933
433,99539,Todiresti,520.6304836895388
434,17619,Musatesti,8.241042345276872
435,107733,Copalnic-Manastur,0.0
436,124117,Oras Roznov,6104.378619153675
437,148694,Fratautii Vechi,0.0
438,140501,Chiesd,3219.0903151421985
439,132315,Banesti,367.0076214108472
440,50399,Valcelele,20198.17001338688
441,25825,Targu Trotus,38.32020997375328
442,50415,Zarnesti,3125.883766745469
443,9459,Oras Chisineu-Cris,3633.332345620481
444,132342,Bertea,0.0
445,115959,Ceuasu De Campie,22.87633262260128
446,124153,Sagna,993.7346326836582
447,148729,Frumosu,180.7737414187643
448,42236,Vistea,1985.9855920756415
449,83197,Feliceni,212.58890554722637
450,156927,Fardea,0.0
451,58623,Mociu,1167.8992805755395
452,140547,Cizer,0.872093023255814
453,25861,Traian,4472.446372239748
454,165130,Osesti,0.0
455,99600,Trifesti,3561.8758104738154
456,9495,Oras Curtici,1693.4550252409363
457,132379,Boldesti-Gradistea,245.55073280721533
458,34075,Nuseni,0.0
459,148765,Fundu Moldovei,9.834320987654321
460,140583,Coseiu,0.0
461,66857,Corbii Mari,1262.5904301475146
462,50479,Ziduri,6675.264964987577
463,124206,Sabaoani,2264.057721391363
464,91447,Tomesti,0.0
465,132404,Brebu,0.0
466,173374,Stoilesti,0.0
467,17726,Negrasi,3847.536883243771
468,9538,Oras Ineu,513.8952092683436
469,42307,Voila,738.9695431472081
470,165185,Padureni,26.497420781134856
471,1348,Municipiul Blaj,791.2508335714966
472,124233,Secuieni,7913.926896977175
473,25932,Ungureni,110.20495150587034
474,157004,Foeni,9777.940066592675
475,116046,Chetani,1195.9958063286313
476,140627,Crasna,40.469651889318655
477,99673,Tibana,0.0
478,75098,Municipiul Galati,651.1921112241884
479,107868,Coroieni,0.0
480,58721,Moldovenesti,1332.2221189591078
481,157031,Gavojdia,16.850372376438727
482,9574,Oras Lipova,212.41374166374166
483,132459,Calugareni,0.0
484,17771,Nucsoara,0.0
485,34155,Parva,0.0
486,75114,Sendreni,1655.5471614755909
487,50549,Unguriu,138.51324359531046
488,83320,Municipiul Miercurea Ciuc,281.5902444813672
489,34173,Petru Rares,0.0
490,140672,Creaca,16.178224937118216
491,50564,Florica,11560.928941524797
492,132486,Carbunesti,0.0
493,66955,Cornatelu,14652.148667601683
494,148872,Galanesti,244.39074009119608
495,91535,Toplita,0.0
496,75150,Vanatori,1393.663943161634
497,107920,Cupseni,0.0
498,165274,Perieni,515.6695118698319
499,9627,Oras Nadlac,264.9728817795551
500,132510,Ceptura,417.4634093844167
501,157086,Oras Gataia,9465.399168719212
502,42398,Vulcan,4151.631915318554
503,116126,Chiheru De Jos,224.48405612244898
504,17824,Oarja,115.95802469135802
505,58794,Palatca,46.031138790035584
506,124331,Stanita,0.0
507,26029,Urechesti,18.92405735528412
508,83375,Pauleni-Ciuc,136.90582726326744
509,1455,Oras Campeni,0.0
510,9654,Oras Pancota,1540.3411272458775
511,148916,Gramesti,0.0
512,17851,Pietrosani,0.0
513,34235,Prundu Bargaului,0.09666924864446166
514,75203,Municipiul Tecuci,576.8033064392024
515,99780,Tibanesti,475.8040939193257
516,107975,Desesti,0.0
517,67014,Cornesti,10.15639961698053
518,116171,Coroisanmartin,0.0
519,42449,Sinca Noua,18.42794486215539
520,75221,Draganesti,599.1352905569007
521,34262,Rebra,0.0
522,42456,Crizbav,19039.051612903226
523,9690,Oras Sebis,942.3815360744763
524,165336,Poienesti,10.341056218057922
525,132574,Cerasu,0.0
526,173533,Stroesti,0.0
527,42464,Sambata De Sus,156.62213490504257
528,140770,Cristolt,0.0
529,26083,Valea Seaca,234.84581700852732
530,83428,Oras Baile Tusnad,0.0
531,34280,Rebrisoara,0.0
532,42472,Holbav,0.0
533,58856,Panticeu,0.0
534,148970,Granicesti,512.9668615984406
535,91624,Totesti,158.44648478488983
536,42480,Dragus,3603.140653357532
537,108017,Oras Dragomiresti,0.0
538,17913,Poienarii De Arges,0.0
539,124411,Stefan Cel Mare,5063.317556763671
540,75258,Munteni,1742.0082188262488
541,116224,Cozma,0.0
542,42498,Augustin,0.0
543,108035,Dumbravita,530.9785268990995
544,26118,Vultureni,1125.130890052356
545,83464,Oras Balan,0.0
546,157193,Ghizela,156.85156912637828
547,9743,Almas,136.17866666666666
548,140823,Criseni,3142.64886996397
549,34333,Rodna,32.494340207784155
550,173597,Sutesti,9.215568862275449
551,83491,Oras Borsec,0.0
552,58918,Petrestii De Jos,504.6859182349124
553,99879,Tiganasi,4586.419629860678
554,132645,Chiojdeanca,1002.6662476429918
555,91688,Turdas,211.36892278360344
556,165416,Pogana,1651.3234501347708
557,17968,Poienarii De Muscel,0.0
558,67121,Costestii Din Vale,351.0031029619182
559,34360,Romuli,150.9777530589544
560,149049,Horodniceni,70.74064026044492
561,157246,Giarmata,2861.6254500138466
562,116288,Craciunesti,250.55453501722158
563,83525,Oras Cristuru Secuiesc,644.1351726691973
564,9798,Apateu,0.0
565,140869,Cuzaplac,0.0
566,75338,Oras Beresti,326.8172737955347
567,108106,Farcasa,1.3719387755102042
568,132681,Ciorani,3.6772330025181454
569,124493,Tarcau,0.0
570,91731,General Berthelot,0.0
571,99922,Tutora,16.387366465397122
572,157273,Giera,60415.28923920493
573,165470,Puiesti,37.73137333870318
574,34397,Salva,67.2253620628753
575,75356,Beresti-Meria,213.86401456058243
576,67167,Crangurile,428.3799709724238
577,50790,Municipiul Resita,130.6543509417354
578,9832,Archis,0.0
579,83561,Municipiul Gheorgheni,798.610653487095
580,18028,Poiana Lacului,68.63008442056793
581,58990,Ploscos,98.61304347826086
582,132716,Cocorastii Mislii,1.8940514945250073
583,149101,Horodnic De Jos,0.0
584,173686,Sirineasa,0.0
585,116340,Craiesti,42927.34840132304
586,34422,Silivasu De Campie,0.0
587,108151,Giulesti,0.0
588,99968,Valea Seaca,314.1502590673575
589,157317,Giulvaz,7683.983835871931
590,149138,Iacobeni,0.0
591,91795,Vata De Jos,0.0
592,124563,Tasca,63.11975591151793
593,132752,Colceag,331.2551724137931
594,140958,Dobrin,720.6374478234943
595,9887,Bata,559.5061378659112
596,1696,Oras Cugir,5.327181709503885
597,59041,Poieni,31.41072842438638
598,100004,Victoria,2568.4788266431406
599,116395,Cucerdea,493.95544554455444
600,34477,Sanmihaiu De Campie,1650.0457746478874
601,108204,Ieud,19.77979981801638
602,157362,Jamu Mare,5473.411421155094
603,26289,Zemes,0.0
604,83632,Municipiul Toplita,11.678843037027802
605,173748,Stefanesti,199.74188609920392
606,67256,Darmanesti,108.39218494271685
607,42682,Municipiul Braila,2974.7504686780667
608,149183,Izvoarele Sucevei,0.0
609,108222,Lapus,0.0
610,132805,Cornu,0.0
611,50889,Oras Anina,0.0
612,124616,Tazlau,45.60597439544808
613,9930,Beliu,0.19834710743801653
614,26320,Sarata,640.3123595505618
615,75472,Oras Targu Bujor,721.9665990534145
616,108240,Leordina,0.0
617,42708,Chiscani,9148.227861211808
618,116439,Cuci,636.2849218356026
619,124634,Tamaseni,203.72743755036262
620,67292,Dobra,1641.3207599118944
621,141027,Dragu,0.0
622,26338,Buciumi,0.0
623,173793,Susani,0.0
624,149227,Oras Liteni,34.08350226855874
625,165611,Pungesti,48.30082987551867
626,26346,Gioseni,0.0
627,50923,Oras Baile Herculane,0.0
628,132841,Cosminele,0.0
629,108268,Miresu Mare,1105.164138790775
630,26353,Odobesti,0.0
631,18162,Popesti,1001.2125124131082
632,157424,Jebel,480.50319888734356
633,34547,Spermezeu,131.06039735099338
634,124661,Timisesti,635.9778265107212
635,100086,Vanatori,315.5162592986185
636,26361,Prajesti,0.0
637,59130,Recea-Cristur,166.21666666666667
638,75515,Barcea,85.177808727948
639,67327,Dragodana,1303.4159331642547
640,42753,Oras Faurei,362.39057899901866
641,1794,Oras Ocna Mures,81.15319991803838
642,157451,Lenauheim,4410.986211219054
643,26379,Itesti,3080.5383589059375
644,116493,Danes,275.14020329477745
645,42771,Surdila-Greci,20897.678736010534
646,10006,Birchis,679.5198517734251
647,75542,Balabanesti,528.6036821705426
648,50969,Oras Bocsa,4103.952974947808
649,141081,Fildu De Jos,0.0
650,173855,Tetoiu,0.0
651,91937,Valisoara,0.0
652,132896,Drajna,0.0
653,83749,Oras Vlahita,0.06536802196365538
654,149290,Marginea,34.76313172407558
655,50987,Ocna De Fier,0.0
656,124723,Trifesti,2588.1185068141417
657,100148,Vladeni,3706.4582581227437
658,34618,Sant,0.0
659,157497,Liebling,3666.7386503067482
660,108348,Moisei,0.0
661,116545,Deda,0.0
662,18242,Priboieni,0.0
663,51010,Municipiul Caransebes,141.05876764831132
664,10051,Barsa,13.854961832061068
665,149316,Malini,0.0
666,42824,Baraganul,5013.152160300564
