,Siruta,Localitate,Total_cif_afaceri
436,124117,Oras Roznov,63039918.0
437,148694,Fratautii Vechi,0.0
438,140501,Chiesd,8376073.0
439,132315,Banesti,2070657.0
440,50399,Valcelele,30176066.0
441,25825,Targu Trotus,219000.0
442,50415,Zarnesti,15866986.0
443,9459,Oras Chisineu-Cris,30654425.0
444,132342,Bertea,0.0
445,115959,Ceuasu De Campie,139477.0
446,124153,Sagna,5302568.0
447,148729,Frumosu,631985.0
448,42236,Vistea,4410874.0
449,83197,Feliceni,708984.0
450,156927,Fardea,0.0
451,58623,Mociu,3896112.0
452,140547,Cizer,1950.0
453,25861,Traian,14177655.0
454,165130,Osesti,0.0
455,99600,Trifesti,14283122.0
456,9495,Oras Curtici,14760154.0
457,132379,Boldesti-Gradistea,435607.0
458,34075,Nuseni,0.0
459,148765,Fundu Moldovei,39829.0
460,140583,Coseiu,0.0
461,66857,Corbii Mari,10185317.0
462,50479,Ziduri,29551398.0
463,124206,Sabaoani,26946815.0
464,91447,Tomesti,0.0
465,132404,Brebu,0.0
466,173374,Stoilesti,0.0
467,17726,Negrasi,7875908.0
468,9538,Oras Ineu,4923630.0
469,42307,Voila,2329232.0
470,165185,Padureni,107871.0
471,1348,Municipiul Blaj,16611520.0
472,124233,Secuieni,25656951.0
473,25932,Ungureni,431783.0
474,157004,Foeni,17619848.0
475,116046,Chetani,3137097.0
476,140627,Crasna,272037.0
477,99673,Tibana,0.0
478,75098,Municipiul Galati,198359629.0
479,107868,Coroieni,0.0
480,58721,Moldovenesti,4300413.0
481,157031,Gavojdia,49776.0
482,9574,Oras Lipova,2420667.0
483,132459,Calugareni,0.0
484,17771,Nucsoara,0.0
485,34155,Parva,0.0
486,75114,Sendreni,7494662.0
487,50549,Unguriu,318996.0
488,83320,Municipiul Miercurea Ciuc,11863397.0
489,34173,Petru Rares,0.0
490,140672,Creaca,45024.0
491,50564,Florica,15618815.0
492,132486,Carbunesti,0.0
493,66955,Cornatelu,20893964.0
494,148872,Galanesti,696758.0
495,91535,Toplita,0.0
496,75150,Vanatori,7846328.0
497,107920,Cupseni,0.0
498,165274,Perieni,1933245.0
499,9627,Oras Nadlac,2120313.0
500,132510,Ceptura,1939535.0
501,157086,Oras Gataia,61487233.0
502,42398,Vulcan,20787221.0
503,116126,Chiheru De Jos,351991.0
504,17824,Oarja,328741.0
505,58794,Palatca,51739.0
506,124331,Stanita,0.0
507,26029,Urechesti,71268.0
508,83375,Pauleni-Ciuc,263133.0
509,1455,Oras Campeni,0.0
510,9654,Oras Pancota,12516812.0
511,148916,Gramesti,0.0
512,17851,Pietrosani,0.0
513,34235,Prundu Bargaului,624.0
514,75203,Municipiul Tecuci,26237052.0
515,99780,Tibanesti,3951553.0
516,107975,Desesti,0.0
517,67014,Cornesti,63640.0
518,116171,Coroisanmartin,0.0
519,42449,Sinca Noua,29411.0
520,75221,Draganesti,3959086.0
521,34262,Rebra,0.0
522,42456,Crizbav,53118954.0
523,9690,Oras Sebis,6073649.0
524,165336,Poienesti,30351.0
525,132574,Cerasu,0.0
526,173533,Stroesti,0.0
527,42464,Sambata De Sus,239162.0
528,140770,Cristolt,0.0
529,26083,Valea Seaca,1018996.0
530,83428,Oras Baile Tusnad,0.0
531,34280,Rebrisoara,0.0
532,42472,Holbav,0.0
