,Siruta,Localitate,Plante
289,148328,Dragoiesti,0.0
290,140146,Balan,0.0
291,90994,Romos,0.0
292,156534,Criciova,0.0
293,115575,Bagaciu,594979.0
294,74616,Vela,0.0
295,33658,Matei,0.0
296,41854,Sinca,1500.0
297,66438,Buciumeni,0.0
298,99209,Strunga,0.0
299,107403,Bogdan Voda,0.0
300,82831,Vladimir,0.0
301,123790,Poiana Teiului,0.0
302,164749,Lunca Banului,0.0
303,25488,Solont,0.0
304,115600,Bala,0.0
305,172947,Scundu,0.0
306,58259,Jucu,75444.0
307,50068,Valea Salciei,0.0
308,131988,Alunis,0.0
309,148382,Draguseni,0.0
310,107430,Boiu Mare,0.0
311,132011,Apostolache,0.0
312,66474,Bucsani,0.0
313,91054,Sarmizegetusa,0.0
314,156589,Curtea,0.0
315,25521,Stanisesti,0.0
316,140208,Banisor,0.0
317,115637,Balauseri,0.0
318,17334,Mioarele,0.0
319,50102,Vernesti,10486.0
320,33729,Magura Ilvei,0.0
321,172992,Sinesti,0.0
322,41925,Sanpetru,0.0
323,58311,Luna,0.0
324,148426,Dumbraveni,0.0
325,156623,Darova,0.0
326,82895,Oras Rovinari,0.0
327,74705,Verbita,0.0
328,140244,Benesat,0.0
329,41943,Soars,0.0
330,99290,Scheia,0.0
331,107485,Botiza,0.0
332,66526,Candesti,0.0
333,164829,Malusteni,0.0
334,33765,Mariselu,0.0
335,148453,Fantanele,0.0
336,132075,Aricestii Rahtivani,80240.0
337,74732,Vartop,0.0
338,91116,Salasu De Sus,0.0
339,58357,Maguri-Racatau,0.0
340,17398,Mirosi,0.0
341,1017,Municipiul Alba Iulia,0.0
342,140280,Bobota,0.0
343,115708,Beica De Jos,0.0
344,107519,Budesti,0.0
345,74750,Varvoru De Jos,0.0
346,156669,Denta,0.0
347,173061,Slatioara,0.0
348,123914,Raucesti,0.0
349,17423,Moraresti,0.0
350,42003,Tarlungeni,0.0
351,66580,Cobia,0.0
352,58393,Manastireni,0.0
353,107546,Calinesti,0.0
354,25629,Strugari,0.0
355,164892,Miclesti,0.0
356,148514,Forasti,0.0
357,140324,Bocsa,0.0
358,156712,Dudestii Vechi,0.0
359,99370,Sipote,0.0
360,132137,Aricestii Zeletin,0.0
361,9262,Municipiul Arad,9460565.0
362,1071,Ciugud,0.0
363,50228,Vintila Voda,0.0
364,33845,Micestii De Campie,0.0
365,115771,Bichis,0.0
366,107582,Cernesti,867307.0
367,9280,Fantanele,0.0
368,123969,Razboieni,0.0
369,132164,Baba Ana,0.0
370,42058,Teliu,151381.0
371,164936,Muntenii De Jos,882727.0
372,173132,Stanesti,0.0
373,17496,Mosoaia,0.0
374,33881,Milas,0.0
375,140379,Buciumi,0.0
376,74842,Catane,0.0
377,25692,Tamasi,0.0
378,42076,Ticusu,0.0
379,156767,Dumbrava,0.0
380,58464,Margau,0.0
381,91232,Santamaria-Orlea,0.0
382,74859,Carcea,0.0
383,99441,Tansa,0.0
384,115824,Bogata,14190.0
385,74867,Carna,0.0
386,9333,Livada,0.0
387,42101,Ucea,0.0
388,164981,Oras Murgeni,0.0
389,74875,Cotofenii Din Fata,0.0
390,124028,Rediu,0.0
391,1151,Oras Abrud,0.0
392,132226,Balta Doamnei,0.0
393,74883,Dobrotesti,0.0
394,156801,Oras Faget,0.0
395,148612,Oras Frasin,0.0
396,66697,Cojasca,0.0
397,74891,Galiciuica,0.0
398,115851,Breaza,0.0
399,107662,Cicarlau,0.0
400,9360,Sofronea,0.0
401,25745,Tatarasti,0.0
402,50326,Viperesti,0.0
403,99478,Tatarusi,0.0
404,74907,Ghidici,0.0
405,140440,Camar,6060628.0
406,33952,Monor,0.0
407,74915,Ghindeni,0.0
408,58534,Marisel,0.0
409,17575,Mozaceni,0.0
410,124073,Romani,0.0
411,66731,Comisani,675614.0
412,74923,Intorsura,0.0
413,42156,Ungra,0.0
414,173230,Stoenesti,0.0
415,132271,Baltesti,0.0
416,74931,Plesoi,0.0
417,9397,Vladimirescu,67424.0
418,58552,Mintiu Gherlii,0.0
419,115897,Brancovenesti,0.0
420,148667,Fratautii Noi,0.0
421,83133,Municipiul Odorheiu Secuiesc,71744.0
422,1213,Municipiul Aiud,1198444.0
423,140477,Carastelec,413480.0
424,107715,Campulung La Tisa,0.0
425,91330,Soimus,0.0
426,74949,Rojiste,0.0
427,33989,Nimigea,0.0
428,42183,Vama Buzaului,0.0
429,74956,Talpas,0.0
430,83151,Bradesti,0.0
431,165069,Oltenesti,0.0
432,66768,Contesti,0.0
433,99539,Todiresti,0.0
434,17619,Musatesti,0.0
435,107733,Copalnic-Manastur,0.0
436,124117,Oras Roznov,0.0
437,148694,Fratautii Vechi,0.0
438,140501,Chiesd,0.0
439,132315,Banesti,0.0
440,50399,Valcelele,0.0
441,25825,Targu Trotus,0.0
442,50415,Zarnesti,19302.0
443,9459,Oras Chisineu-Cris,291511.0
444,132342,Bertea,0.0
445,115959,Ceuasu De Campie,0.0
446,124153,Sagna,0.0
447,148729,Frumosu,0.0
448,42236,Vistea,596955.0
449,83197,Feliceni,0.0
450,156927,Fardea,0.0
451,58623,Mociu,0.0
452,140547,Cizer,0.0
453,25861,Traian,0.0
454,165130,Osesti,0.0
455,99600,Trifesti,0.0
456,9495,Oras Curtici,0.0
457,132379,Boldesti-Gradistea,0.0
458,34075,Nuseni,0.0
459,148765,Fundu Moldovei,0.0
460,140583,Coseiu,0.0
461,66857,Corbii Mari,0.0
462,50479,Ziduri,0.0
463,124206,Sabaoani,0.0
464,91447,Tomesti,0.0
465,132404,Brebu,0.0
466,173374,Stoilesti,0.0
467,17726,Negrasi,0.0
