,Siruta,Localitate,LT
2315,135681,Tataru,48.33574529667149
810,52758,Ezeris,48.31970935513169
2740,156035,Bogda,48.258706467661696
370,27560,Borod,48.257725180802105
2983,169404,Danicei,48.24667472793229
392,28941,Curatele,48.23008849557522
3024,172947,Scundu,48.167202572347264
1140,70897,Bistret,48.1668773704172
2562,149049,Horodniceni,48.163841807909606
1430,86453,Tomesti,48.158508158508155
1058,65707,Gura Foii,48.14225053078556
180,14726,Botesti,48.11529933481153
1765,104788,Rasuceni,48.11375507835171
352,26582,Sanmartin,48.10597999574377
1231,74923,Intorsura,48.09917355371901
1742,103899,Izvoarele,48.08400884303611
1900,112548,Jiana,48.0472042708626
609,40991,Fundata,47.98136645962733
1252,75864,Cavadinesti,47.96320630749015
1897,112334,Ilovita,47.940074906367045
2670,153339,Marzanesti,47.92310332990045
2708,154834,Tiganesti,47.906976744186046
1922,113894,Vanjulet,47.896213183730715
907,58534,Marisel,47.80526735833999
748,48922,Racoviteni,47.80487804878049
1781,105570,Tunari,47.76958201615736
1210,74224,Silistea Crucii,47.76119402985074
179,14673,Boteni,47.67975522692504
380,28193,Carpinet,47.64397905759162
2222,130375,Visina Noua,47.638888888888886
2157,127411,Leleasca,47.61467889908257
3099,178046,Tamboesti,47.586790855207454
384,28497,Cherechiu,47.530186608122946
1371,83151,Bradesti,47.50911300121506
2737,155840,Bethausen,47.50453720508167
1073,66580,Cobia,47.452868030485355
2664,153124,Lisa,47.443997702469844
1303,78089,Turcinesti,47.43801652892562
378,28077,Cabesti,47.43421052631579
2720,155145,Saelele,47.42765273311897
2508,146012,Alma,47.40218088518281
1906,112879,Patulele,47.33108108108108
69,8014,Sugag,47.256097560975604
1287,77288,Suceveni,47.22627737226278
45,5826,Mogos,47.22222222222222
2630,151834,Poroschia,47.21383475157837
1484,90342,Orastioara De Sus,47.200878155872665
2650,152564,Contesti,47.18202589489719
1873,110740,Breznita-Motru,47.16636197440585
1691,101617,Buturugeni,47.15108834827145
441,31921,Uileacu De Beius,47.125748502994014
886,57163,Ciucea,47.1183800623053
1258,76139,Cuca,47.05221785513756
430,31333,Simian,47.04336399474376
246,19212,Teiu,47.03668861712135
2202,129718,Vadastra,47.033158813263526
2687,153972,Saceni,47.02581369248036
1295,77561,Radesti,46.94589877835951
1486,90538,Pui,46.905725853094275
1991,118511,Neaua,46.863117870722434
1727,103194,Gaujani,46.85314685314685
2286,133866,Jugureni,46.81933842239186
2842,160476,Hamcearca,46.78638941398866
1397,84558,Joseni,46.72738826519805
1748,104136,Oras Mihailesti,46.67330346772856
1330,80043,Danciulesti,46.666666666666664
1266,76497,Gohor,46.66424945612763
1361,82396,Telesti,46.65500655881067
2191,129184,Studina,46.645512239347234
1168,72221,Dranic,46.62833246210141
2133,126326,Corbu,46.57210401891253
1214,74411,Teslui,46.554621848739494
1815,107430,Boiu Mare,46.54811715481171
823,53247,Maureni,46.53776978417266
1655,100282,Costesti,46.46892655367232
2435,142550,Salatig,46.46788990825688
1880,111275,Corcova,46.43228624921989
2186,128962,Spineni,46.34896233666411
1881,111417,Corlatel,46.34858812074002
447,32161,Paleu,46.319702602230485
801,51984,Ciuchici,46.31578947368421
